Location,Loc_Code,FilmDate,Disturbance,Loc_Disturbance,Bound,Notes,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2014-10-12,ID,CBD_ID,,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2015-10-02,ID,CBD_ID,,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2016-10-12,Storm17,CBD_Storm17,start,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2018-02-27,Storm17,CBD_Storm17,end,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2018-11-05,ID,CBD_ID,,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2019-10-18,BL19,CBD_BL19,start,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2019-12-02,BL19,CBD_BL19,end,repear row,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2019-12-02,SCTLD,CBD_SCTLD,start,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2021-04-06,SCTLD,CBD_SCTLD,interval,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2021-11-16,SCTLD,CBD_SCTLD,end,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2022-11-18,ID,CBD_ID,,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2023-11-12,BL23,CBD_BL23,start,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2024-03-13,BL23,CBD_BL23,end,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2024-11-12,BL24,CBD_BL24,start,,,,,,,,,,,,,,,,,,
Cane Bay Deep,CBD,2025-04-16,BL24,CBD_BL24,end,,,,,,,,,,,,,,,,,,
Castle,CST,2003-03-10,ID,CST_ID,,,,,,,,,,,,,,,,,,,
Castle,CST,2010-01-22,ID,CST_ID,,,,,,,,,,,,,,,,,,,
Castle,CST,2010-08-10,ID,CST_ID,,,,,,,,,,,,,,,,,,,
Castle,CST,2011-07-19,ID,CST_ID,,,,,,,,,,,,,,,,,,,
Castle,CST,2012-08-15,ID,CST_ID,,,,,,,,,,,,,,,,,,,
Castle,CST,2013-08-15,ID,CST_ID,,,,,,,,,,,,,,,,,,,
Castle,CST,2014-12-09,ID,CST_ID,,,,,,,,,,,,,,,,,,,
Castle,CST,2015-10-03,ID,CST_ID,,,,,,,,,,,,,,,,,,,
Castle,CST,2016-10-11,Storm17,CST_Storm17,start,,,,,,,,,,,,,,,,,,
Castle,CST,2018-02-28,Storm17,CST_Storm17,end,,,,,,,,,,,,,,,,,,
Castle,CST,2018-11-02,ID,CST_ID,,,,,,,,,,,,,,,,,,,
Castle,CST,2019-10-16,SCTLD,CST_SCTLD,start,,,,,,,,,,,,,,,,,,
Castle,CST,2021-04-07,SCTLD,CST_SCTLD,interval,,,,,,,,,,,,,,,,,,
Castle,CST,2021-11-14,SCTLD,CST_SCTLD,end,,,,,,,,,,,,,,,,,,
Castle,CST,2022-10-19,Diadema,CST_Diadema,start,,,,,,,,,,,,,,,,,,
Castle,CST,2023-11-13,Diadema,CST_Diadema,end,repeat row,,,,,,,,,,,,,,,,,
Castle,CST,2023-11-13,BL23,CST_BL23,start,,,,,,,,,,,,,,,,,,
Castle,CST,2024-03-11,BL23,CST_BL23,end,,,,,,,,,,,,,,,,,,
Castle,CST,2024-11-12,BL24,CST_BL24,start,,,,,,,,,,,,,,,,,,
Castle,CST,2025-04-11,BL24,CST_BL24,end,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2001-09-25,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2002-05-13,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2003-05-20,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2004-12-07,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2005-06-15,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2005-09-28,BL05,CKR_BL05,start,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2006-06-23,BL05,CKR_BL05,end,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2007-06-28,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2008-10-28,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2009-09-09,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2010-10-19,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2011-10-18,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2012-10-31,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2013-10-22,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2014-10-22,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2015-10-14,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2016-10-06,Storm17,CKR_Storm17,start,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2017-12-02,Storm17,CKR_Storm17,end,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2018-04-03,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2018-11-25,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2019-12-05,ID,CKR_ID,,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2020-02-26,SCTLD,CKR_SCTLD,start,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2020-07-14,SCTLD,CKR_SCTLD,interval,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2020-12-14,SCTLD,CKR_SCTLD,end,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2021-10-19,Diadema,CKR_Diadema,start,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2022-10-04,Diadema,CKR_Diadema,end,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2023-10-13,BL23,CKR_BL23,start,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2024-04-26,BL23,CKR_BL23,end,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2024-10-18,BL24,CKR_BL24,start,,,,,,,,,,,,,,,,,,
Coculus Rock,CKR,2025-05-08,BL24,CKR_BL24,end,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2003-04-04,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2005-04-28,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2005-10-18,BL05,CSE_BL05,start,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2006-07-31,BL05,CSE_BL05,end,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2007-09-20,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2008-08-04,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2009-09-15,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2010-12-02,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2011-10-07,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2012-10-04,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2013-10-13,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2014-11-13,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2015-11-13,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2016-12-06,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2018-04-17,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2018-12-05,SCTLD,CSE_SCTLD,start,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2019-11-25,SCTLD,CSE_SCTLD,interval,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2020-03-02,SCTLD,CSE_SCTLD,end,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2020-07-20,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2020-12-04,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2021-12-03,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2022-11-08,ID,CSE_ID,,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2023-12-06,BL23,CSE_BL23,start,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2024-05-14,BL23,CSE_BL23,end,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2024-11-21,BL24,CSE_BL24,start,,,,,,,,,,,,,,,,,,
College Shoal East,CSE,2025-04-08,BL24,CSE_BL24,end,,,,,,,,,,,,,,,,,,
Coral Bay,CRB,2011-10-11,ID,CRB_ID,,,,,,,,,,,,,,,,,,,
Coral Bay,CRB,2012-12-03,ID,CRB_ID,,,,,,,,,,,,,,,,,,,
Coral Bay,CRB,2014-01-23,ID,CRB_ID,,,,,,,,,,,,,,,,,,,
